PGM_ID,APPROVAL_PROCESS_NAME,PGM_NAME,MATERIAL_GROUP,TECH_CENTER_LOC,NEED_BY_DATE,CREATED_DATE,ASSIGNED_TO,CREATOR,ASSIGNEE,REQUESTER,CURRENT_STATUS,PROGRAM_STAGE,MATERIAL_CODE,REVISION_NO,CLASS,SUB_CLASS,SUPPLIER_NAME,SUPPLIER_PLANT,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,SUPPLIER_PLANT_LOCATION,SUPPLIER_TRADENAME,AGENT_NAME,AGENT_PLANT,AGENT_CITY,AGENT_STATE,AGENT_COUNTRY,AGENT_PLANT_LOCATION,COMMODITY_GROUP,MATERIAL_CATEGORY,REGION_FOR_TRIAL,PLANT_FOR_TRIAL,PLANT_SLOT,EXP_CODE,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILTER,RMI_DESC,MANET_CLASS,MANET_SUBCLASS,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,PGM_REASON,AGENT_BUILD_BREAK,REINGMI_DESC,MAT_CLASS,MAT_SUBCLASS,MAT_DOUBLE_SUBCLASS,APPROVAL_REGIONS,RESTRICTED_PLANTS
176,NEW MATERIAL,NM_000176,RAW MATERIAL,GTC*A,,2008-04-17 09:48:41,236,Bill Francik,Kelley Gallagher,Bill Francik,Cancelled,PROGRAM INITIATION - In Progress ,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R1 2-12-08,,,,,,,,,,,,N0040012,,,,,,,,,,,,,,,,,,,,NA,
183,NEW SOURCE,NS_000183,REINFORCEMENT,GTC*A,,2008-04-17 13:28:25,459,Gary Platz,Armin Heyen,,Cancelled,SOS REINFORCMENT - In Progress,107A,0.0,YARN,ARAMID,HYOSUNG CORPORATION,"LISA, LUXEMBOURG",LISA,Others,Luxembourg,"LISA, Luxembourg",KARENTEST,,,,,,,Fabric,Fabric,EMEA,Luxembourg,,RFY00049,,,,,,,,,,,,,,this is a test for Armin,,louis,YARN,ARAMID,,EMEA,Luxembourg
185,NEW SOURCE,NS_000185,RAW MATERIAL,GTC*A,,2008-04-17 13:56:51,136,Mike Shenigo,Andreas Frantzen,Mike Shenigo,Cancelled,TIRE BUILD -  testing,TINARIC,4.0,Polymers,"Halobutyl, Butyl",EXXONMOBIL CHEMICAL,"Notre-Dame-de-Gravenchon, France",Notre-Dame-de-Gravenchon,Others,France,"Notre-Dame-de-Gravenchon, France",BUTYL 068,,,,,,,Synthetic Rubber,Other Polymer,NA,Danville,,RFX0005777,.92,100,0,0,Tinaric With CaSt From NDG France,,,POLY,POLY,BUTYL,N,N,S,SUPPLY SECURITY -,,,,,,NA,
186,NEW SOURCE,NS_000186,RAW MATERIAL,GTC*A,,2008-04-17 14:07:59,31,Mike Shenigo,Tom H Hoopes,Mike Shenigo,Cancelled,PROGRAM INITIATION - Negative Priority Entered ,EDBRISIC,8.0,Polymers,"Halobutyl, Butyl",EXXONMOBIL CHEMICAL,"Notre-Dame-de-Gravenchon, France",Notre-Dame-de-Gravenchon,Others,France,"Notre-Dame-de-Gravenchon, France",Butyl 268,,,,,,,Synthetic Rubber,Other Polymer,NA,Danville,,N0040015,,,,,,,,,,,,,,SUPPLY SECURITY,,,,,,NA,
201,NEW SOURCE,NS_000201,RAW MATERIAL,GTC*A,,2008-04-18 10:13:52,29,Corey S Yon,Corey S Yon,Corey S Yon,Cancelled,,DEERBAX,0.0,Curing Materials,Accelerators,,,,,,,,,,,,,,PCO,Accelerator,,,,N0040017,,,,,,,,,,,,,,Correct specific gravity on purchase spec,,,,,,,
241,NEW SOURCE,NS_000241,RAW MATERIAL,GTC*L,2008-10-13,2008-04-21 02:21:35,432,Adam James,Mustafa Goksoy,Lothar C Braun,Completed,PAPER WORK - Completed,NIMBO,4.0,Natural Rubber,TSR-Technically Specified,ANEKA BUMI PRATAMA,"JAMBI, INDONESIA",JAMBI,Others,Indonesia,"JAMBI, Indonesia",TSR 10,GOCPL,SINGAPORE,Singapore,Others,Singapore,"Singapore, Singapore",Natural Rubber,Natural Rubber,EMEA,Sava,,RFX0006189,.92,100,0,0,TSR 10 BLOCK NATURAL RUBBER,,,POLY,POLY,NATURAL,N,Y,S,"Cost Saving
Alternative source",,,,,,EMEA,
262,NEW SOURCE,NS_000262,RAW MATERIAL,GTC*L,2008-10-13,2008-04-21 04:43:29,432,Jonathan Jonathan,Mustafa Goksoy,Lothar C Braun,Completed,PAPER WORK - Completed,NIMBO,4.0,Natural Rubber,TSR-Technically Specified,INSAN BONAFIDE,KAV,BANJARMASIN,Others,Indonesia,"KAV, BANJARMASIN, Indonesia",KAV,GOCPL,SINGAPORE,Singapore,Others,Singapore,"Singapore, Singapore",Natural Rubber,Natural Rubber,EMEA,Wolverhampton,,RFX0006188,.92,100,0,0,TSR 10 BLOCK NATURAL RUBBER,,,POLY,POLY,NATURAL,N,Y,S,Cost saving and alternative source,,,,,,EMEA,
265,NEW SOURCE,NS_000265,RAW MATERIAL,GTC*L,2008-10-13,2008-04-21 05:26:12,432,Adam James,Mustafa Goksoy,Lothar C Braun,Completed,PAPER WORK - Completed,NIMBO,4.0,Natural Rubber,TSR-Technically Specified,SENG HIN RUBBER,"KEL, MALAYSIA",,KEL,Malaysia,"KEL, Malaysia",BY,GOCPL,SINGAPORE,Singapore,Others,Singapore,"Singapore, Singapore",Natural Rubber,Natural Rubber,EMEA,Adapazari,,RFX0005969,.92,100,0,0,TSR 10 BLOCK NATURAL RUBBER,,,POLY,POLY,NATURAL,N,Y,S,Alternative source for supply assurrance,,,,,,EMEA,
281,REVISIONS,RE_000281,RAW MATERIAL,GTC*A,,2008-04-21 08:50:01,29,Corey S Yon,Corey S Yon,Corey S Yon,Completed,PAPER WORK - Completed,DEERBAX,0.0,Curing Materials,Accelerators,,,,,,,,,,,,,,,,,,,N0040019,,,,,,,,,,,,,,"1-Replaces revision 0, finalized 04-30-07
2-Update description of material
3- Update specific gravity
4-Update age limit wording",,,,,,,
282,NEW SOURCE,NS_000282,RAW MATERIAL,GTC*L,,2008-04-21 09:50:35,432,Gary Platz,Mustafa Goksoy,Lothar C Braun,Cancelled,RAW MATERIAL INFORMATION - Completed,CODE2044,0.0,Curing Materials,Sulfur,ORIENTAL CARBON AND CHEMICAL,Dharuhera-Haryana,Dharuhera-Haryana,Others,India,"Dharuhera-Haryana, India",DS 72 OT,,,,,,,PCO,Accelerator,EMEA,Amiens North,,RFX0005818,1.6,0,0,0,2044 evaluation,,,CHEM,CHEM,VULCANIZER - SULFUR DONOR,Y,Y, ,New Source,,,,,,"AP, EMEA, LA, NA",
321,NEW MATERIAL,NM_000321,RAW MATERIAL,GTC*L,2008-08-07,2008-04-23 11:02:36,1220,Lothar C Braun,Manuela Pompei,Lothar C Braun,Cancelled,PROGRAM INITIATION - Completed ,,,,,G and G Lacke,G&G Lacke,D-64839 Muenster,Others,Germany,"G&G Lacke, D-64839 Muenster, Germany",43W-2102-0800,,,,,,,,,EMEA,Hanau,,RFX0005832,1,0,0,0,wb ink brown,,,,,,N,U, ,waterbased inks,,,,,,EMEA,
322,NEW MATERIAL,NM_000322,RAW MATERIAL,GTC*L,2008-08-15,2008-04-23 11:06:44,1220,Lothar C Braun,Manuela Pompei,Lothar C Braun,Cancelled,PROGRAM INITIATION - Completed ,,,,,G and G Lacke,G&G Lacke,D-64839 Muenster,Others,Germany,"G&G Lacke, D-64839 Muenster, Germany",43W-2102-05000,,,,,,,,,EMEA,Hanau,,RFX0005833,1.15,0,0,0,wb ink blue,,,,,,N,U, ,waterbased inks,,,,,,EMEA,
325,NEW MATERIAL,NM_000325,RAW MATERIAL,GTC*L,,2008-04-23 11:29:19,1220,Lothar C Braun,Manuela Pompei,Lothar C Braun,Cancelled,PROGRAM INITIATION - Completed ,,,,,G and G Lacke,G&G Lacke,D-64839 Muenster,Others,Germany,"G&G Lacke, D-64839 Muenster, Germany",43W-2102-0200,,,,,,,,,EMEA,Hanau,,RFX0005836,1.15,0,0,0,wb ink orange,,,,,,N,U, ,waterbased inks,,,,,,EMEA,
331,NEW MATERIAL,NM_000331,RAW MATERIAL,GTC*A,2010-01-14,2008-04-23 14:22:29,77,Ronda J Hinterlong,Ronda J Hinterlong,Ronda J Hinterlong,Completed,PAPER WORK - Completed,WBINWH08,0.0,"Dyes, Colors, Pigments",Ink - External Striping,APV ENGINEERED COATINGS,Akron,Akron,OH,USA,"Akron, OH, USA",TL-1352,,,,,,,,,NA,Lawton,,RFX0004921,1.09,0,0,0,White waterbased low viscosity external striping ink,,,CEMT,CEMT,NONCURE MARKING,N,Y,L,Water based striping ink,,,,,,"AP, EMEA, LA, NA",
338,NEW MATERIAL,NM_000338,RAW MATERIAL,GTC*A,2008-04-30,2008-04-23 15:44:27,29,Joanne Shaw,Corey S Yon,Joanne Shaw,Cancelled,PROGRAM INITIATION - In Progress ,,,,,FLEXSYS,"Cartersville, GA, USA",Cartersville,GA,USA,"Cartersville, GA, USA",test xyz,,,,,,,,,NA,Danville,,N0040021,,,,,,,,,,,,,,testing the system,,,,,,NA,
402,NEW MATERIAL,NM_000402,RAW MATERIAL,GTC*A,2008-06-15,2008-04-28 11:40:31,31,Tom H Hoopes,Tom H Hoopes,Tom H Hoopes,Cancelled,PROGRAM INITIATION - In Progress ,,,,,,,,,,,,,,,,,,,,NA,Lawton,,N0040022,,,,,,,,,,,,,,New Bead Lube For Lawton,,,,,,NA,
423,REVISIONS,RE_000423,RAW MATERIAL,GTC*A,,2008-04-29 10:58:29,136,Tom H Hoopes,Andreas Frantzen,Tom H Hoopes,Cancelled,,HARLIC,1.0,Resins,Tackifying,,,,,,,,,,,,,,,,,,,N0040025,,,,,,,,,,,,,,Update spec format,,,,,,,
426,REVISIONS,RE_000426,RAW MATERIAL,GTC*A,,2008-04-29 11:14:37,1460,Tom H Hoopes,Bernadette Crookston,Tom H Hoopes,Completed,PAPER WORK - Completed,XANGITE,0.0,"Lubricants, Release",Mold Release Agents,,,,,,,,,,,,,,,,,,,N0040028,,,,,,,,,,,,,,ChemTrend has requested spec change to better reflect material properties,,,,,,,
428,REVISIONS,RE_000428,RAW MATERIAL,GTC*A,,2008-04-29 11:17:53,1460,Tom H Hoopes,Bernadette Crookston,Tom H Hoopes,Completed,PAPER WORK - Completed,ZENITE,0.0,"Lubricants, Release",Lubricants,,,,,,,,,,,,,,,,,,,N0040030,,,,,,,,,,,,,,ChemTrend has requested spec change to better reflect material properties,,,,,,,
434,REVISIONS,RE_000434,RAW MATERIAL,GTC*A,,2008-04-29 14:04:50,136,Tom H Hoopes,Andreas Frantzen,Tom H Hoopes,Cancelled,,INDIC,8.0,Resins,Self Reactive,,,,,,,,,,,,,,,,,,,N0040033,,,,,,,,,,,,,,Update format and remove obsolete tests,,,,,,,
438,NEW SOURCE,NS_000438,RAW MATERIAL,GTC*A,,2008-04-29 15:30:30,96,Tom H Hoopes,Maureen DeSanzo,Tom H Hoopes,Cancelled,PAPER WORK - Tech Report Written,CODE601,9.0,Curing Materials,"Metal Oxides, Salts",ZN Fundiciones,Santa Cruz,Santa Cruz,Others,Venezuela,"Santa Cruz, Venezuela",Zinc Oxide,,,,,,,PCO,Accelerator,LA,Venezuela,,RFX0004702,5.57,0,0,0,Zinc Oxide,,,CHEM,CHEM,ACTIVATOR,N,Y, ,Only source of ZnO in Venezuela,,,,,,"AP, EMEA, LA, NA",
442,REVISIONS,RE_000442,RAW MATERIAL,GTC*A,,2008-04-29 16:02:45,136,Tom H Hoopes,Andreas Frantzen,Tom H Hoopes,Cancelled,,THIELIC,1.0,Resins,Traction and Plasticizer,,,,,,,,,,,,,,,,,,,N0040039,,,,,,,,,,,,,,Update format,,,,,,,
5601,NEW MATERIAL,NM_005601,RAW MATERIAL,GTC*A,,2009-03-03 13:33:44,37,Marlynn Lee,Mike Bryant,Marlynn Lee,Cancelled,PROGRAM INITIATION - Completed ,,,,,DOW CHEMICAL,"Texas City, TX, USA",Texas City,TX,USA,"Texas City, TX, USA",DIVINYLBENZENE HP,UNIVAR,"Houston, TX, USA",Houston,TX,USA,"Houston, TX, USA",,,NA,Chem Beaumont,,N0040291,,,,,,,,,,,,,,NEW MATERIAL,,,,,,NA,
5948,NEW SOURCE,NS_005948,RAW MATERIAL,GTC*L,,2009-03-16 20:19:59,136,John Yu,Andreas Frantzen,,Cancelled,PROGRAM INITIATION - In Progress ,ROMAX,5.0,Resins,Tackifying,,,,,,,,,,,,,,PCO,Resin,,,,N0040309,,,,,,,,,,,,,,,,,,,,AP,Nippon Giant
6104,NEW MATERIAL,NM_006104,RAW MATERIAL,GTC*A,,2009-03-20 13:14:02,412,Jennifer Labbe,Bill Francik,Ping Zhang,Cancelled,RAW MATERIAL INFORMATION - Completed,,,,,GOODYEAR TIRE AND RUBBER,Akron,Akron,OH,USA,"Akron, OH, USA",APR-6420,,,,,,,,,NA,Chem Houston,,RFX0006460,0.98,87,0,13,"APR-6420
CPM-15.23
104MS",,,POLY,POLY,SBR,N,Y,S,Compounding Evaluations,,,,,,NA,
6341,SOURCE CHANGE,SC_006341,RAW MATERIAL,GTC*L,,2009-04-01 11:06:13,136,Jennifer L Grace,Andreas Frantzen,,Cancelled,PROGRAM INITIATION - Positive Priority Entered ,LAMBOTIC,3.0,Polymers,"SBR, Emulsion",SYNTHOS,Dwory,Dwory,Others,Poland,"Dwory, Poland",KER 1721,,,,,,,Synthetic Rubber,SBR,EMEA,Fulda,,N0040330,,,,,,,,,,,,,,Cost advantage,,,,,,EMEA,Fulda
6356,NEW MATERIAL,NM_006356,RAW MATERIAL,GTC*A,,2009-04-01 14:07:54,671,Kelley Gallagher,Paul Sandstrom,Paul Sandstrom,Cancelled,LAB EVALUATION - Skipped Reference Lab Evaluation Completed by P.Sandstrom (2009TTA293PLST51763),,,,,Cray Valley USA,Oaklands Corporation Center,Exton,PA,USA,"Oaklands Corporation Center, Exton, PA, USA",Ricon 157,,,,,,,,,NA,Lawton,,RFX0006484,0.92,0,0,0,Liquid polybutadiene,,,,,,N,Y,L,Development of liquid polymer,,,,,,NA,
6402,NEW MATERIAL,NM_006402,RAW MATERIAL,GTC*A,,2009-04-06 08:41:41,77,Cesar Daza,Ronda J Hinterlong,Cesar Daza,Cancelled,LAB EVALUATION -,,,,,APV ENGINEERED COATINGS,Akron,Akron,OH,USA,"Akron, OH, USA",GM-1-128,,,,,,,,,NA,Buffalo / Tonawanda,,RFX0006492,1.03,0,0,0,Lavender Bead Ring Ink,,,,,,U,Y,S,New Lavender Bead Ring Ink,,,,,,NA,
6568,SOURCE CHANGE,SC_006568,RAW MATERIAL,GTC*L,,2009-04-13 11:38:39,559,Corey S Yon,Wolfgang Loesslein,,Cancelled,PPO RAW MATERIAL - Completed,CITAX,4.0,Curing Materials,Accelerators,KEMAI CHEMICAL,JMQ,Tianjin,Others,China,"JMQ, Tianjin, China",ACCELERATOR DCBS (DZ),,,,,,,PCO,Accelerator,AP,Australia,,N0040369,,,,,,,,,,,,,,Transfer from manual VPB to MIS VPB,,,,,,EMEA,Sava
6661,OTHER MATERIAL,OM_006661,RAW MATERIAL,GTC*L,,2009-04-16 09:32:41,136,Andreas Frantzen,Andreas Frantzen,Andreas Frantzen,Completed,PAPER WORK - Completed,MOSELLIC,0.0,Polymers,"SBR, Solution",DOW,"SCHKOPAU, GERMANY",SCHKOPAU,Others,Germany,"SCHKOPAU, Germany",SE SLR-4630,,,,,,,,,,,,RFX0006759,.94,72.73,27.27,0,"STAINING, METHOXYSILANO-FUNCTIONALIZED SOLURTION COPOLYMER OF BD AND STYRENE",,,POLY,POLY,SBR,Y,Y,S,Extension of existing production line,,,,,,,
6725,NEW SOURCE,NS_006725,RAW MATERIAL,GTC*A,,2009-04-20 14:42:41,96,Gary Platz,Maureen DeSanzo,,Cancelled,LAB EVALUATION - Skipped Material was used in the evaluation referenced in the attached GDMS report.  Future programs will use an approved source.,SHULTAX,3.0,Curing Materials,Retarders,Genovique Specialties,"Rosemont, IL, USA",Rosemont,IL,USA,"Rosemont, IL, USA",Benzoic Acid,,,,,,,PCO,Accelerator,NA,ICM*A,,RFX0006513,1.26,0,0,0,BENZOIC ACID,,,CHEM,CHEM,RETARDER,N,Y,S,"Requested by Rebecca Dando, program for lab evaluation purposes",,,,,,NA,ICM*A
8523,NEW MATERIAL,NM_008523,RAW MATERIAL,GTC*L,,2009-07-23 02:55:53,1560,Willi Reinig,Stefanie Jakob,Richard Cox,Cancelled,PROGRAM INITIATION - In Progress ,,,,,SUMITOMO CHEMICAL,ICHIHARA - CHIBA,ICHIHARA - CHIBA,Others,Japan,"ICHIHARA - CHIBA, Japan",SE 6411,ITOCHU Corporation,"Paris, France",Paris,Others,France,"Paris, France",,,EMEA,Birmingham,,N0040553,,,,,,,,,,,,,,,,,,,,EMEA,
8621,NEW MATERIAL,NM_008621,REINFORCEMENT,GTC*A,,2009-07-27 13:18:55,160,Michael E Putinski,Michael E Putinski,Michael E Putinski,Cancelled,PLANT TRIAL - Material Ordered Bill Mcgurk placed request with Decatur on 7/30,,,,,HYOSUNG CORPORATION,"Decatur, AL, USA",Decatur,AL,USA,"Decatur, AL, USA",AT17YR,,,,,,,,,NA,ICM*A,,RFA00003,,,,,,,,,,,,,,new material for race tires,,"At17, 1000/2 16x16 tpi, 17epi",FABRIC,ARAMID,,NA,
