PROD_CODE_ID,PGM_ID,MAT_APPR_CODE_FINAL_DATE,MAT_APPR_CODE_FINAL_BY,MAT_APPR_CODE_FINAL_CMNTS,PROP_NAME_MAT_CODE,PROP_NAME_MAT_CODE_DATE,PROP_NAME_MAT_CODE_BY,PROP_NAME_MAT_CODE_CMNTS,CME_APPR_MAT_NAME,CME_APPR_DATE,CME_APPR_BY,CME_APPR_CMNTS,SPEC_DRAFT_POSTED_DATE,SPEC_DRAFT_POSTED_BY,SPEC_DRAFT_POSTED_CMNTS,SPEC_CHNG_CNTRL_DATE,SPEC_CHNG_CNTRL_BY,SPEC_CHNG_CTRL_CMNTS,PROD_CODE_STATUS,PROD_CODE_CURR_STEP_STATUS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE
1403,4325,2010-01-28,77.0,Topeka requesting permanet codes for all TA inks.,WBINRE09,2010-01-28,77.0,Permanent codes needed for all TA bead marking inks,WBINRE09,2010-01-29,76.0,,2010-02-10,28.0,,,,,S,C,77,2010-01-28 11:45:33,28.0,2010-03-12 07:40:54
1405,4327,2010-01-28,77.0,Topeka requesting permanet codes for all TA inks.,WBINOR07,2010-01-28,77.0,Permanent codes needed for all TA bead marking inks.,WBINOR07,2010-01-29,76.0,,2010-02-10,28.0,,,,,S,C,77,2010-01-28 11:47:59,28.0,2010-03-12 07:46:37
1406,4328,2010-01-28,77.0,Topeka requesting permanet codes for all TA inks.,WBINGR09,2010-01-28,77.0,Permanent codes needed for all TA bead marking inks,WBINGR09,2010-01-29,76.0,,2010-02-10,28.0,,,,,S,C,77,2010-01-28 11:49:35,28.0,2010-03-12 07:49:21
1421,12990,2010-02-11,236.0,,GALLINE,2010-02-11,236.0,,GALLINE,2010-02-15,76.0,,2010-02-16,28.0,,,,,S,C,236,2010-02-11 09:47:51,28.0,2010-06-16 10:15:32
1481,5541,2010-02-23,372.0,,NATALITE,2010-02-23,372.0,,NATALITE,2010-02-24,76.0,,2010-02-24,28.0,,,,,S,C,372,2010-02-23 15:30:14,28.0,2010-03-08 14:21:47
1601,4581,2010-05-04,2960.0,,SOCCERIC,2010-05-04,2960.0,,SOCCERIC,2010-05-04,76.0,,2010-05-05,28.0,,,,,S,C,28,2010-05-04 08:37:46,28.0,2010-06-16 10:11:37
1801,13166,2010-08-27,372.0,,MERCADIC,2010-10-06,372.0,,MERCADIC,2010-08-27,76.0,,2010-11-22,28.0,,,,,S,C,372,2010-08-27 14:21:28,28.0,2011-01-24 07:33:11
1821,13315,2010-09-03,580.0,,KEIRIC,2010-09-03,580.0,,KEIRIC,2010-09-06,76.0,,2010-09-09,28.0,,,,,S,C,580,2010-09-03 10:05:12,28.0,2011-01-03 13:32:48
1862,9683,2010-09-14,651.0,,RIESIC,2010-09-14,651.0,,RIESIC,2010-09-15,76.0,,2010-10-14,28.0,,,,,S,C,651,2010-09-14 07:51:12,28.0,2011-01-27 08:05:49
1881,12984,2010-09-23,3300.0,,FS,2010-09-23,3300.0,,FS,2010-09-23,3300.0,,2010-10-04,3300.0,,2010-10-04,3300.0,,S,C,3300,2010-09-23 04:27:47,216.0,2010-10-21 08:03:59
1921,1023,2010-09-30,77.0,,WBCRPI01,2010-09-30,77.0,New code for pink bead crayon,WBCRPI01,2010-10-04,76.0,,2011-05-05,28.0,,,,,S,C,77,2010-09-30 10:54:59,28.0,2011-05-13 14:26:30
2041,5805,2011-02-07,651.0,,PRAVATIC,2011-02-07,651.0,,PRAVATIC,2011-02-08,522.0,,2011-03-28,28.0,,,,,S,C,651,2011-02-07 12:11:26,591.0,2012-04-17 08:47:50
2061,11321,2011-02-11,372.0,,CAMILITE,2011-02-11,372.0,,CAMILITE,2011-03-24,28.0,,2011-03-24,28.0,,,,,S,C,372,2011-02-11 14:10:35,28.0,2011-08-09 13:08:33
2101,7941,2011-03-11,372.0,,PHOSIC,2011-03-11,372.0,,PHOSIC,2011-03-18,28.0,,2011-05-25,28.0,,,,,S,C,372,2011-03-11 16:20:44,28.0,2011-12-09 09:22:31
2181,8741,2011-03-22,372.0,,BEGLITE,2011-03-22,372.0,,BEGLITE,2011-03-25,28.0,,2011-03-25,28.0,,,,,S,C,372,2011-03-22 09:36:20,28.0,2011-08-09 13:07:11
2201,9662,2011-04-01,160.0,,AE20LR,2011-04-01,160.0,,AE20LR,2011-04-01,160.0,,2011-04-01,160.0,posted in SIS,2011-04-05,160.0,SCC 180547,S,C,160,2011-04-01 14:26:43,160.0,2011-04-13 14:11:26
2241,5788,2010-08-02,160.0,,CE01WA,2010-08-02,160.0,,CE01WA,2010-08-02,160.0,,2011-04-07,160.0,,2011-04-07,160.0,SCC 180655,S,C,160,2011-04-07 10:47:44,160.0,2011-04-13 14:37:52
2301,7230,2011-05-18,34.0,,TY26HF,2011-05-18,34.0,,TY26HF,2011-05-18,34.0,,2011-05-18,34.0,,2011-05-18,34.0,182627,S,C,34,2011-05-18 09:30:16,34.0,2011-05-18 09:30:21
2381,13501,2011-06-21,651.0,here the corrected spec,VILLARIC,2011-06-21,651.0,,VILLARIC,2011-07-01,28.0,,2011-07-01,28.0,,,,,S,C,651,2011-06-21 07:09:57,3720.0,2011-09-20 07:41:05
2481,4342,2011-09-14,651.0,Please look for the approval,PILLELIC,2011-09-14,651.0,,PILLELIC,2011-09-19,3720.0,,2011-09-19,3720.0,,,,,S,C,651,2011-09-14 07:06:58,28.0,2017-10-19 12:53:40
2501,9702,2011-09-23,651.0,please look for SQA and HSE approval for this code,WEHLACIC,2011-09-23,651.0,"Gary, Samatha,, maybe you can use this proposal.",WEHLACIC,2011-09-26,28.0,,2011-09-26,28.0,,,,,S,C,651,2011-09-23 06:13:25,3600.0,2014-01-03 03:38:05
2581,13372,2011-11-11,2960.0,,GLORIC,2011-10-27,2960.0,,GLORIC,2011-10-27,28.0,,2011-11-11,28.0,,,,,S,C,2960,2011-10-27 08:47:51,28.0,2011-12-09 09:11:57
2602,3421,2011-08-25,3442.0,,E09A,2011-08-25,3442.0,,E09A,2011-08-25,3442.0,,2011-08-25,3442.0,,2011-08-25,3442.0,,S,C,3442,2011-10-31 11:41:24,3442.0,2011-10-31 11:42:25
68,121,2008-05-14,137.0,"trials already done in Poland, please see MR 08-28",WBIN03YE,2008-05-14,137.0,,WBINYE02,2008-05-15,76.0,,,,,,,,D,M,137,2008-05-14 09:21:46,28.0,2008-07-29 09:20:54
69,122,2008-05-14,137.0,"trials already done in Poland, please see MR 08-29",WBIN03OR,2008-05-14,137.0,,WBINOR02,2008-05-15,76.0,,,,,,,,D,M,137,2008-05-14 09:26:43,1460.0,2008-10-15 12:37:13
70,123,2008-05-14,137.0,"trials already done in Poland, please see MR 08-30",WBIN03RE,2008-05-14,137.0,,WBINRE02,2008-05-15,76.0,,,,,,,,D,M,137,2008-05-14 09:30:27,28.0,2008-07-29 09:22:37
101,781,2008-05-16,76.0,Exptl. Code X0005906,Apfelite,2008-05-19,76.0,,APFELITE,2008-05-19,76.0,,2008-05-28,76.0,,,,,S,S,76,2008-05-16 07:59:48,28.0,2008-05-28 10:48:41
181,561,2008-06-09,76.0,,Cornic,2008-06-09,76.0,,CORNICIC,2008-06-09,76.0,,2008-06-09,28.0,,,,,S,C,76,2008-06-09 07:38:10,28.0,2009-06-01 08:31:59
221,2321,2008-07-30,28.0,,Lebronic,2008-07-30,28.0,,LEBRONIC,2008-07-30,28.0,,2008-07-30,28.0,,,,,S,C,28,2008-07-30 14:00:24,28.0,2009-02-16 13:29:02
683,8,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINGR08,2009-04-08,77.0,Name OK'd by Manuela Pompei per share drive spreadsheet.,WBINGR08,2009-04-09,76.0,,2009-06-02,28.0,,,,,S,C,77,2009-04-08 13:08:27,28.0,2009-10-15 13:50:11
685,335,2009-04-08,77.0,Water based tread striping ink needs permanent code,WBINOR06,2009-04-08,77.0,Name OK'd by Manuela Pompei on sharedrive spreadsheet.,WBINOR06,2009-04-09,76.0,,2009-06-15,28.0,,,,,S,C,77,2009-04-08 13:11:28,28.0,2009-10-15 14:07:40
692,1921,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINPI04,2009-04-08,77.0,Name OK'd by Manuela Pompei on sharedrive spreadsheet,WBINPI04,2009-04-09,76.0,,2009-06-03,28.0,,,,,S,C,77,2009-04-08 13:23:17,28.0,2009-11-10 08:29:20
693,2224,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINBL07,2009-04-08,77.0,Manuela Pompei OK'd name on sharedrive spreadsheet,WBINBL07,2009-04-09,76.0,,2009-06-03,28.0,,,,,S,C,77,2009-04-08 13:24:15,28.0,2009-10-15 12:55:59
694,2227,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINRE07,2009-04-08,77.0,Manuela Pompei Ok'd name on sharedrive spreadsheet,WBINRE07,2009-04-09,76.0,,2009-06-03,28.0,,,,,S,C,77,2009-04-08 13:28:48,28.0,2009-10-15 13:03:59
695,2228,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINOR05,2009-04-08,77.0,Manuela Pompei OK's name on sharedrive spreadsheet,WBINOR05,2009-04-09,76.0,,2009-06-03,28.0,,,,,S,C,77,2009-04-08 13:29:56,28.0,2009-10-15 13:07:35
801,5921,2009-06-05,28.0,,SCIEKIC,2009-04-27,28.0,,SCIEKIC,2009-04-28,28.0,,2009-04-29,28.0,,,,,S,C,28,2009-06-05 07:45:32,28.0,2010-10-26 13:37:26
881,4442,2009-07-21,2240.0,,VANESITE,2009-12-02,28.0,,VANESITE,2009-07-21,76.0,,2009-11-25,28.0,,,,,S,C,2240,2009-07-21 08:12:45,28.0,2010-04-08 12:58:53
981,5761,2009-09-17,591.0,,MAGGIC,2009-09-18,591.0,New Code,SUSANIC,2009-09-24,591.0,Approved by U Frank,2009-10-07,28.0,,,,,S,C,591,2009-09-17 11:33:20,28.0,2011-09-01 13:43:41
1081,550,2009-11-06,116.0,,Code 5171,2009-11-06,116.0,,CODE7171,2009-11-10,76.0,,2009-11-19,28.0,,,,,S,C,116,2009-11-06 07:38:12,28.0,2009-11-30 12:44:00
1121,11281,2009-11-13,651.0,X0006891 is the same as X0004843,MAGGAX,2009-11-13,651.0,,MAGGAX,2009-11-13,76.0,,2010-01-28,28.0,,,,,S,C,651,2009-11-13 04:37:01,28.0,2010-11-17 09:17:24
1122,6261,2009-11-13,651.0,,BARRAX,2009-11-13,651.0,,BARRAX,2009-11-13,76.0,,2009-11-23,28.0,,,,,S,C,651,2009-11-13 05:15:04,28.0,2010-11-17 08:53:21
1182,4062,2009-11-26,1122.0,,F07Q,2009-11-26,1122.0,rev 05,F07Q,2009-11-26,1122.0,rev 05,2009-11-26,1122.0,,2009-11-26,1122.0,,S,C,1122,2009-11-26 07:36:02,1122.0,2009-11-26 07:37:41
1186,10643,2009-11-30,651.0,,GOERGAX,2009-11-27,651.0,,GOERGAX,2009-11-27,76.0,,2009-11-30,28.0,,,,,S,C,651,2009-11-27 07:11:46,28.0,2010-03-12 10:59:21
1187,10585,2009-11-30,651.0,,MARCORAX,2009-11-27,651.0,,MARCORAX,2009-11-27,76.0,,2009-11-30,28.0,,,,,S,C,651,2009-11-27 07:29:04,28.0,2010-03-12 10:59:02
1201,11701,2009-12-03,651.0,,Code 3044,2009-12-01,651.0,,CODE3044,2009-12-02,76.0,,2010-08-11,28.0,,,,,S,C,651,2009-12-01 10:43:28,28.0,2010-11-02 07:13:39
1407,4329,2010-01-28,77.0,Topeka requesting permanet codes for all TA inks.,WBINBL09,2010-01-28,77.0,Permanent codes needed for all TA bead marking inks.,WBINBL09,2010-01-29,76.0,,2010-02-10,28.0,,,,,S,C,77,2010-01-28 11:50:47,28.0,2010-03-12 07:55:00
1541,12461,2010-03-08,116.0,,OURIELIC,2010-03-08,116.0,,OURIELIC,2010-03-08,76.0,,2010-03-16,28.0,,,,,S,C,116,2010-03-08 05:13:03,28.0,2010-06-17 08:43:07
1561,12162,2010-03-19,372.0,,Bowenic,2010-03-19,372.0,,BOWENIC,2010-03-19,76.0,,2010-04-08,28.0,,,,,S,C,372,2010-03-19 09:34:03,28.0,2010-05-26 13:44:35
1621,10466,2010-02-05,160.0,,B44LB,2010-02-05,160.0,,B44LB,2010-02-05,160.0,,2010-02-05,160.0,,2010-05-11,160.0,,S,C,160,2010-05-11 08:50:24,160.0,2010-05-11 09:59:11
1661,13222,2010-05-20,3140.0,MDR10-10,SYDNINE-H,2010-05-20,3140.0,Sydnine-H means high viscosity Sydnine,SYDNINE-H,2010-05-26,76.0,,2010-05-26,28.0,,,,,S,C,3140,2010-05-20 10:24:57,28.0,2010-07-01 09:12:44
1682,4701,2010-03-01,2800.0,done by S. Imhoff,V05T,2010-03-01,2800.0,done by S. Imhoff,V05T,2010-03-01,2800.0,done by S. Imhoff,2010-03-03,2800.0,done by S. Imhoff,2010-06-15,2800.0,,S,C,2800,2010-06-15 06:54:16,2800.0,2010-06-15 07:28:24
1701,3761,2010-07-07,372.0,,Beckic,2010-07-07,372.0,,BECKIC,2010-07-08,76.0,,2010-08-06,28.0,,,,,S,S,372,2010-07-07 13:16:29,28.0,2010-08-16 08:01:07
1981,11322,2010-11-22,372.0,,MILENITE,2010-11-22,372.0,,MILENITE,2011-01-13,76.0,,2011-03-04,28.0,,,,,S,C,372,2010-11-22 11:42:56,28.0,2011-08-09 13:10:03
2141,5763,2011-03-17,372.0,,JOOSTIC,2011-03-17,372.0,,JOOSTIC,2011-03-18,28.0,,2011-05-27,28.0,,,,,S,S,372,2011-03-17 11:31:23,3720.0,2011-08-29 10:17:02
2221,13469,2011-04-06,372.0,,WISILVIC,2011-04-06,372.0,,WISILVIC,2011-07-22,3720.0,,2012-03-28,28.0,,,,,S,C,372,2011-04-06 09:43:13,372.0,2012-05-07 12:52:42
2262,13174,2011-04-29,3600.0,,MAIDENIC,2011-04-29,3600.0,,MAIDENIC,2011-05-02,28.0,,2011-05-02,28.0,,,,,S,C,3600,2011-04-29 11:24:31,28.0,2011-06-15 08:34:03
2441,6761,2011-09-01,372.0,"Gary, I had to make changes to the test methods.  Please use proposal 2.",DEWITE,2011-09-01,372.0,,DEWITE,2011-09-06,28.0,,2011-09-14,28.0,,,,,D,M,372,2011-09-01 09:40:34,3720.0,2011-11-30 07:29:24
2442,6764,2011-09-01,372.0,"Gary, I had to change the test method.  Please use prop2.",FAXITE,2011-09-01,372.0,,FAXITE,2011-09-06,28.0,,2011-09-14,28.0,,,,,D,M,372,2011-09-01 09:42:21,3720.0,2011-11-30 07:33:41
2521,14990,2011-09-30,160.0,,NF26TR,2011-10-24,160.0,,NF26TR,2011-10-25,160.0,,2011-10-17,160.0,,2011-11-03,160.0,,S,C,160,2011-09-30 12:41:42,160.0,2011-11-03 14:19:53
2621,6281,2012-01-10,2960.0,,RESCOLIC,2011-11-07,2960.0,,RESCOLIC,2011-11-10,28.0,,,,,,,,D,M,2960,2011-11-07 15:54:07,2960.0,2012-01-10 10:03:39
2641,14426,2011-11-08,372.0,,CUENKITE,2011-11-08,372.0,,CUENKITE,2011-11-10,28.0,,2011-11-10,28.0,,,,,S,C,372,2011-11-08 13:16:10,28.0,2012-03-26 12:16:21
2681,15188,2011-12-02,28.0,,PINOTITE,2011-12-02,28.0,trandsferred from the old NC db,PINOTITE,2011-12-02,28.0,,2011-12-02,28.0,,,,,S,C,28,2011-12-02 09:23:18,432.0,2012-05-03 08:40:59
2701,12344,2011-12-20,372.0,Send proposal 2 to supplier.,HEITZIC,2011-12-20,372.0,,HEITZIC,2012-01-09,28.0,,2012-01-09,28.0,,,,,S,C,372,2011-12-20 15:13:31,372.0,2012-03-07 15:54:09
2721,14812,2012-01-04,580.0,,BUD1229,2012-01-04,580.0,,BUD1229,2012-01-04,28.0,,2012-01-23,28.0,"1-23-12, Draft spec not yet approved by NA Qtech
2-29-12 NA Qtech approved spec",,,,S,C,580,2012-01-04 12:16:47,3720.0,2012-03-27 13:40:02
2781,14889,2012-02-29,372.0,,CAMAROTIC,2012-02-29,372.0,,CAMAROTIC,2012-03-06,28.0,,2012-03-06,28.0,,,,,S,C,372,2012-02-29 15:44:19,372.0,2012-04-16 14:23:56
2881,15544,2012-04-17,432.0,,DERTIC,2012-04-17,432.0,,DERTIC,2012-04-17,28.0,,2012-04-17,432.0,,,,,S,C,432,2012-04-17 04:15:25,28.0,2012-04-17 10:40:12
2901,13718,2012-04-19,1060.0,,AE01FA,2012-04-19,1060.0,,AE01FA,2012-04-19,1060.0,,2012-04-19,1060.0,Spec L01AE01FA will be created when tire plants request it.,2012-04-19,1060.0,,S,C,1060,2012-04-19 14:28:18,1060.0,2012-04-19 15:11:18
2941,15623,2012-05-07,432.0,,JOLYIC,2012-05-07,432.0,,JOLYIC,2012-05-07,28.0,,2012-05-07,432.0,,,,,S,C,432,2012-05-07 10:17:13,432.0,2012-05-07 10:55:03
3003,10823,2012-05-16,432.0,,ARNOLDIC,2012-05-16,432.0,,ARNOLDIC,2012-05-17,28.0,,2012-05-16,432.0,,,,,S,C,432,2012-05-16 17:38:08,432.0,2012-05-22 10:51:31
3021,15208,2012-05-21,372.0,,MORTERIC,2012-05-21,372.0,,MORTERIC,2012-05-21,28.0,,2012-05-21,28.0,,,,,S,C,372,2012-05-21 11:36:05,372.0,2012-08-02 15:50:46
3041,10162,2012-05-23,432.0,,JANUITE,2012-05-23,432.0,,JANUITE,2012-05-24,28.0,,2012-05-24,432.0,,,,,S,C,432,2012-05-23 10:19:11,432.0,2012-05-24 09:51:52
3121,15007,2012-11-13,580.0,,GOLDENIC,2012-11-02,580.0,,GOLDENIC,2012-11-02,28.0,,2012-11-13,580.0,,,,,S,C,580,2012-11-02 09:36:59,580.0,2012-11-13 08:44:10
3181,14238,2012-11-07,3442.0,,RQ24SE,2012-11-07,3442.0,,RQ24SE,2012-11-07,3442.0,,2012-12-11,3442.0,,2013-06-28,216.0,,S,C,3442,2012-12-10 04:02:48,216.0,2013-06-28 11:26:56
3261,15658,2013-01-24,459.0,,CAROLIC,2013-01-24,459.0,,CAROLIC,2013-01-24,459.0,,2013-01-24,459.0,,,,,S,C,459,2013-01-24 04:45:52,459.0,2013-04-04 02:11:19
3341,14847,2013-03-08,1060.0,,LF25MA,2013-03-08,1060.0,,LF25MA,2013-03-08,1060.0,,2013-03-08,1060.0,Fabric specs I11LF25MA and I16LF25MA attached,2013-03-08,1060.0,Goodyear India to handle SCC,S,C,1060,2013-03-08 07:21:35,1060.0,2013-03-08 13:38:12
41,101,2008-10-06,29.0,,CUTINE,2008-10-06,29.0,,CUTINE,2008-10-07,76.0,,2008-10-09,28.0,,,,,S,S,29,2008-05-05 15:13:23,28.0,2010-05-24 11:10:21
65,106,2008-05-14,137.0,"trials already done in Poland and Sava, please see MR 08-25",WBIN05BL,2008-05-14,137.0,,WBINBL01,2008-05-15,76.0,,2010-09-01,28.0,,,,,S,S,137,2008-05-14 07:24:29,28.0,2011-02-21 09:29:45
71,124,2008-05-14,137.0,"trials already done in Poland, please see MR 08-31",WBIN03PI,2008-05-14,137.0,,WBINPI02,2008-05-15,76.0,,,,,,,,D,M,137,2008-05-14 09:35:26,28.0,2008-07-29 09:23:20
141,126,2008-05-22,137.0,,WBINGR02,2008-07-29,28.0,,,,,,,,,,,,D,P,137,2008-05-22 04:23:57,28.0,2008-07-29 09:27:02
161,1061,2008-05-29,116.0,,SEIFERIC,2008-05-29,116.0,,SEIFERIC,2008-05-29,116.0,,2008-05-29,116.0,,,,,S,C,116,2008-05-29 10:45:00,30.0,2008-06-20 09:31:07
281,581,2008-09-01,136.0,,LACTIC,2008-09-01,136.0,Already approved in the past by Tom Segatta,LACTIC,2008-09-01,76.0,,2008-09-01,136.0,,,,,S,C,136,2008-09-01 09:02:44,28.0,2009-06-05 11:14:34
301,2921,2008-09-11,1460.0,GR-444 approved as code Hermanic.  A purchase spec revision made for Gujarat material.  Dunlop Germany later informed Global Materials that their supplier Elgi cannot meet revised spec.  GR-444 re-coded to new code and Hermanic spec will be revised back.,BEAMIC,2008-09-11,1460.0,,BEAMIC,2008-09-11,76.0,,2008-09-11,28.0,,,,,S,C,1460,2008-09-11 08:22:19,28.0,2008-11-24 15:08:09
361,3622,2008-11-04,116.0,,Code 1971,2008-11-04,116.0,,CODE1971,2008-11-18,28.0,CSIS number should be group 26,2008-11-18,28.0,,,,,S,C,116,2008-11-04 10:41:43,28.0,2008-12-01 13:51:33
